NOME_EVENTO,DESCRICAO,DATA,HORARIO,ENTRADA,COUVERT,LOCAL
Vira Jazz,Música e jazz em ambiente de cafeteria,10/05/2024,19h45,10.0,0.0,Elegia Café
Queens of pop,Show de drag,10/05/2024,22h,10.0,0.0,You club
Roda de Samba,Show tradicional de samba,10/05/2024,19h30,10.0,0.0,breguella's
Nu dicso,Discos de vinil,10/05/2024,19h30,10.0,0.0,Zimbro
banda yas,Indie,10/05/2024,19h30,10.0,0.0,Lowbrow lab Arte
júnior santos,Sertanejo,10/05/2024,19h30,10.0,0.0,Coronel 1889
DJ Klima,Piseiro,10/05/2024,19h30,10.0,0.0,Birosca
